ç
"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Rural 2007 (MWh)"
"Barracão","4301800","-27.673900000000","-51.458599999990","1.625"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","4.815"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","732"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","11.697"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","58"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","3.000"
"Boa Vista do Cadeado","4302220","-28.571600000000","-53.813800000000","910"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","829"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","2.291"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","3.524"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","913"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","1.856"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","672"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","143"
"Bozano","4302584","-28.367460000000","-53.772239999990","8"
"Braga","4302600","-27.617300000000","-53.740499999990","871"
"Brochier","4302659","-29.550100000000","-51.594499999990","2.562"
"Butiá","4302709","-30.117899999990","-51.960099999990","1.038"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","4.116"
"Cacequi","4302907","-29.888300000000","-54.822000000000","5.328"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","28.801"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","111"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","1.929"
"Caiçara","4303400","-27.279100000000","-53.425699999990","2.350"
"Camaquã","4303509","-30.848900000000","-51.804299999990","19.370"
"Camargo","4303558","-28.588000000000","-52.200299999990","179"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","641"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","1.728"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","123"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","1.127"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","541"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","1.508"
"Candelária","4304200","-29.668399999990","-52.789499999990","21.777"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","7.017"
"Candiota","4304358","-31.551500000000","-53.677300000000","648"
"Canela","4304408","-29.356000000000","-50.811900000000","670"
"Canguçu","4304507","-31.396000000000","-52.678199999990","15.732"
"Canoas","4304606","-29.912800000000","-51.185699999990","192"
"Capão Bonito do Sul","4304622","-29.764199999990","-50.028199999990","1.336"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","138"
"Capão do Cipó","4304655","-28.904000000000","-54.700000000000","2.025"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","8.091"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","1.627"
"Capitão","4304697","-29.267399999990","-51.985300000000","98"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","9.936"
"Caraá","4304713","-29.786899999990","-50.431600000000","3.762"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","9.264"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","780"
"Casca","4304903","-28.560500000000","-51.981499999990","10.984"
"Caseiros","4304952","-28.258199999990","-51.686100000000","1.017"
"Catuípe","4305009","-28.255400000000","-54.013199999990","262"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","29.960"
"Centenário","4305116","-27.761600000000","-51.998399999990","1.277"
"Cerrito","4305124","-31.841899999990","-52.800400000000","2.724"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","89"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","50"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","3.305"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","18.662"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","2.560"
"Charrua","4305371","-27.949300000000","-52.015000000000","92"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","66"
"Chuí","4305439","-33.686599999990","-53.459400000000","2.435"
