ç
"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Rural 1991 (MWh)"
"Água Santa","4300059","-28.167200000000","-52.030999999990","12"
"Agudo","4300109","-29.644700000000","-53.251500000000","9.614"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","1"
"Alecrim","4300307","-27.657900000000","-54.764899999990","295"
"Alegrete","4300406","-29.790199999990","-55.794899999990","34.574"
"Alegria","4300455","-27.834499999990","-54.055700000000","472"
"Alpestre","4300505","-27.250200000000","-53.034100000000","3.152"
"Alvorada","4300604","-29.991399999990","-51.080900000000","86"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","190"
"André da Rocha","4300661","-28.628299999990","-51.579700000000","216"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","2.611"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","2.152"
"Aratiba","4300901","-27.397800000000","-52.297499999990","2.819"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","2.958"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","120"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","3.396"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","1.114"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","17.787"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","2.312"
"Áurea","4301552","-27.693600000000","-52.050500000000","1.441"
"Bagé","4301602","-31.329699999990","-54.099899999990","9.066"
"Barão","4301651","-29.372500000000","-51.494900000000","466"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","1.465"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","2.997"
"Barracão","4301800","-27.673900000000","-51.458599999990","420"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","953"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","9.812"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","2.801"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","914"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","1.760"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","1.601"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","48"
"Braga","4302600","-27.617300000000","-53.740499999990","495"
"Brochier","4302659","-29.550100000000","-51.594499999990","1.670"
"Butiá","4302709","-30.117899999990","-51.960099999990","1.472"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","1.241"
"Cacequi","4302907","-29.888300000000","-54.822000000000","3.451"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","15.680"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","256"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","978"
"Caiçara","4303400","-27.279100000000","-53.425699999990","982"
"Camaquã","4303509","-30.848900000000","-51.804299999990","14.062"
"Camargo","4303558","-28.588000000000","-52.200299999990","47"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","1.782"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","75"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","2.646"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","164"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","1.020"
"Campos Borges","4304101","-28.887100000000","-53.000799999990","15"
"Candelária","4304200","-29.668399999990","-52.789499999990","8.691"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","5.896"
"Canela","4304408","-29.356000000000","-50.811900000000","364"
"Canguçu","4304507","-31.396000000000","-52.678199999990","3.573"
"Canoas","4304606","-29.912800000000","-51.185699999990","1.139"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","85"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","20.694"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","712"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","7.083"
"Casca","4304903","-28.560500000000","-51.981499999990","3.468"
"Caseiros","4304952","-28.258199999990","-51.686100000000","312"
"Catuípe","4305009","-28.255400000000","-54.013199999990","4.821"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","11.725"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","..."
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","721"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","11.876"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","79"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","1.410"
"Cidreira","4305454","-30.160399999990","-50.233800000000","972"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","2.381"
"Constantina","4305801","-27.731999999990","-52.993800000000","3.218"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","1.394"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","953"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","3.866"
"Cristal","4306056","-31.004600000000","-52.043599999990","990"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","6.387"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","3.382"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","268"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","686"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","1.641"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","1.665"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","587"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","4.793"
"Doutor Maurício Cardoso","4306734","-27.510300000000","-54.357799999990","1.381"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","6.350"
"Encantado","4306809","-29.235099999990","-51.870300000000","3.084"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","1.661"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","640"
"Entre-ijuís","4306932","-28.368600000000","-54.268599999990","8.178"
"Erebango","4306973","-27.854399999990","-52.300500000000","121"
"Erechim","4307005","-27.636399999990","-52.269700000000","4.129"
"Ernestina","4307054","-28.497699999990","-52.583599999990","2.414"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","4.468"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","1.324"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","392"
"Espumoso","4307500","-28.728600000000","-52.846100000000","7.878"
"Estação","4307559","-27.913499999990","-52.263500000000","3.255"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","4.043"
"Esteio","4307708","-29.852000000000","-51.184100000000","463"
"Estrela","4307807","-29.501600000000","-51.960500000000","4.339"
"Eugênio de Castro","4307831","-28.531500000000","-54.150599999990","642"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","727"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","5.098"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","2.051"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","368"
"Feliz","4308102","-29.452700000000","-51.303199999990","3.975"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","6.383"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","2.427"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","2"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","7.213"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","6.769"
"Gaurama","4308706","-27.585599999990","-52.091500000000","1.582"
"General Câmara","4308805","-29.903199999990","-51.761200000000","453"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","885"
"Giruá","4309001","-28.029699999990","-54.351700000000","4.065"
"Glorinha","4309050","-29.879799999990","-50.773400000000","1.418"
"Gramado","4309100","-29.373300000000","-50.876199999990","1.052"
"Gravataí","4309209","-29.941299999990","-50.986899999990","2.470"
"Guabiju","4309258","-28.542100000000","-51.694800000000","448"
"Guaíba","4309308","-30.108599999990","-51.323300000000","3.796"
"Guaporé","4309407","-28.839900000000","-51.889499999990","1.769"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","1.665"
"Harmonia","4309555","-29.545600000000","-51.418500000000","828"
"Herval","4307104","-32.024000000000","-53.394399999990","1.507"
"Horizontina","4309605","-27.628200000000","-54.305300000000","2.505"
"Humaitá","4309704","-27.569099999990","-53.969499999990","1.731"
"Ibarama","4309753","-29.420300000000","-53.129500000000","888"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","1.690"
"Ibirapuitã","4309951","-28.624700000000","-52.515799999990","1.630"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","12.823"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","565"
"Ijuí","4310207","-28.388100000000","-53.920000000000","26.735"
"Ilópolis","4310306","-28.928200000000","-52.125799999990","557"
"Imbé","4310330","-29.975300000000","-50.128100000000","3.512"
"Imigrante","4310363","-29.350800000000","-51.774700000000","717"
"Independência","4310405","-27.835400000000","-54.188600000000","5.129"
"Ipê","4310439","-28.817100000000","-51.285899999990","1.025"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","232"
"Iraí","4310504","-27.195100000000","-53.254300000000","768"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","1.012"
"Itaqui","4310603","-29.131000000000","-56.551499999990","76.141"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","1.156"
"Ivoti","4310801","-29.599499999990","-51.153300000000","2.016"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","1.383"
"Jaguarão","4311007","-32.560400000000","-53.377000000000","14.604"
"Jaguari","4311106","-29.493600000000","-54.703000000000","2.829"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","162"
"Jóia","4311155","-28.643500000000","-54.114100000000","1.119"
"Júlio de Castilhos","4311205","-29.229800000000","-53.677199999990","2.755"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","1.790"
"Lagoão","4311254","-29.234800000000","-52.799700000000","38"
"Lajeado","4311403","-29.459099999990","-51.964399999990","88.508"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","453"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","1.371"
"Machadinho","4311700","-27.566700000000","-51.666800000000","765"
"Marau","4311809","-28.449800000000","-52.198599999990","7.140"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","1.522"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","804"
"Mata","4312104","-29.564900000000","-54.464100000000","1.298"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","940"
"Miraguaí","4312302","-27.497000000000","-53.689100000000","631"
"Montauri","4312351","-28.646200000000","-52.076700000000","135"
"Montenegro","4312401","-29.682400000000","-51.467900000000","2.646"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","1.221"
"Mostardas","4312500","-31.105399999990","-50.916699999990","9.310"
"Muçum","4312609","-29.163000000000","-51.871400000000","2.175"
"Não-Me-Toque","4312658","-28.454799999990","-52.818199999990","3.974"
"Nonoai","4312708","-27.368900000000","-52.775599999990","2.510"
"Nova Araçá","4312807","-28.653700000000","-51.745800000000","1.682"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","2.438"
"Nova Bréscia","4313003","-29.218200000000","-52.031900000000","1.811"
"Nova Esperança do Sul","4313037","-29.406600000000","-54.829300000000","807"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","243"
"Nova Petrópolis","4313201","-29.374099999990","-51.113500000000","3.918"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","1.736"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","771"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","1.254"
"Osório","4313508","-29.888100000000","-50.266700000000","5.052"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","1.651"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","14.575"
"Palmeira das Missões","4313706","-27.900600000000","-53.313400000000","15.360"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","2.893"
"Panambi","4313904","-28.283300000000","-53.502299999990","9.941"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","2.483"
"Paraí","4314001","-28.596399999990","-51.789600000000","1.459"
"Paraíso do Sul","4314027","-29.671700000000","-53.143999999990","3.577"
"Parobé","4314050","-29.624300000000","-50.831200000000","399"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","12.734"
"Paverama","4314159","-29.548500000000","-51.733899999990","483"
"Pedro Osório","4314209","-31.864200000000","-52.818399999990","2.415"
"Pejuçara","4314308","-28.428300000000","-53.657899999990","52"
"Pelotas","4314407","-31.764900000000","-52.337100000000","16.590"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","554"
"Pirapó","4314555","-28.043900000000","-55.200099999990","656"
"Piratini","4314605","-31.447299999990","-53.097299999990","802"
"Planalto","4314704","-27.329699999990","-53.057500000000","6.278"
"Portão","4314803","-29.701499999990","-51.242899999990","489"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","9.009"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","2.294"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","2.165"
"Protásio Alves","4315172","-28.757200000000","-51.475700000000","530"
"Quaraí","4315305","-30.384000000000","-56.448300000000","6.012"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","76"
"Redentora","4315404","-27.664000000000","-53.640700000000","1.590"
"Relvado","4315453","-29.116399999990","-52.077800000000","580"
"Restinga Sêca","4315503","-29.818800000000","-53.380699999990","1.629"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","18.086"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","8.831"
"Riozinho","4315750","-29.638999999990","-50.448799999990","299"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","2.479"
"Rolante","4316006","-29.646200000000","-50.581899999990","1.174"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","2.776"
"Rondinha","4316204","-27.831499999990","-52.908099999990","1.785"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","1.429"
"Rosário do Sul","4316402","-30.251500000000","-54.922100000000","5.010"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","76"
"Salto do Jacuí","4316451","-29.095099999990","-53.213299999990","84"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","618"
"Sananduva","4316600","-27.946999999990","-51.807899999990","3.589"
"Santa Bárbara do Sul","4316709","-28.365300000000","-53.250999999990","1.237"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","11.318"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","8.835"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","1.001"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","11.105"
"Santa Vitória do Palmar","4317301","-33.524999999990","-53.371699999990","18.328"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","196"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","1.797"
"Santiago","4317400","-29.189699999990","-54.866599999990","3.281"
"Santo Ângelo","4317509","-28.300100000000","-54.266800000000","3.889"
"Santo Antônio da Patrulha","4317608","-29.826799999990","-50.517499999990","8.284"
"Santo Antônio das Missões","4317707","-28.513999999990","-55.225099999990","1.040"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","5.064"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","7.746"
"São Borja","4318002","-28.657800000000","-56.003599999990","42.737"
"São Domingos do Sul","4318051","-28.531199999990","-51.886000000000","206"
"São Francisco de Assis","4318101","-29.554700000000","-55.125300000000","4.071"
"São Francisco de Paula","4318200","-29.440400000000","-50.582799999990","1.224"
"São Gabriel","4318309","-30.333700000000","-54.321700000000","3.885"
"São Jerônimo","4318408","-29.971599999990","-51.725099999990","969"
"São João da Urtiga","4318424","-27.819500000000","-51.825699999990","765"
