ç
"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Rural 1997 (MWh)"
"Água Santa","4300059","-28.167200000000","-52.030999999990","129"
"Agudo","4300109","-29.644700000000","-53.251500000000","12.662"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","265"
"Alecrim","4300307","-27.657900000000","-54.764899999990","391"
"Alegrete","4300406","-29.790199999990","-55.794899999990","31.420"
"Alegria","4300455","-27.834499999990","-54.055700000000","627"
"Alpestre","4300505","-27.250200000000","-53.034100000000","1.909"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","785"
"Alvorada","4300604","-29.991399999990","-51.080900000000","126"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","506"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","7.037"
"André da Rocha","4300661","-28.628299999990","-51.579700000000","1.251"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","3.367"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","3.216"
"Arambaré","4300851","-30.909300000000","-51.504600000000","2.797"
"Araricá","4300877","-29.616800000000","-50.929099999990","155"
"Aratiba","4300901","-27.397800000000","-52.297499999990","3.130"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","3.719"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","111"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","6.894"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","454"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","17.461"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","3.152"
"Áurea","4301552","-27.693600000000","-52.050500000000","1.187"
"Bagé","4301602","-31.329699999990","-54.099899999990","2.939"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","31"
"Barão","4301651","-29.372500000000","-51.494900000000","470"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","2.039"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","606"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","469"
"Barra do Quaraí","4301875","-30.202900000000","-57.549700000000","7.918"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","3.112"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","1.048"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","748"
"Barracão","4301800","-27.673900000000","-51.458599999990","882"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","2.496"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","493"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","7.150"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","51"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","2.426"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","306"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","1.003"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","1.690"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","667"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","1.509"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","394"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","110"
"Braga","4302600","-27.617300000000","-53.740499999990","736"
"Brochier","4302659","-29.550100000000","-51.594499999990","1.371"
"Butiá","4302709","-30.117899999990","-51.960099999990","301"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","2.403"
"Cacequi","4302907","-29.888300000000","-54.822000000000","4.123"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","19.953"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","155"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","1.393"
"Caiçara","4303400","-27.279100000000","-53.425699999990","1.398"
"Camaquã","4303509","-30.848900000000","-51.804299999990","10.285"
"Camargo","4303558","-28.588000000000","-52.200299999990","57"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","473"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","617"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","78"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","3.763"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","136"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","1.222"
"Candelária","4304200","-29.668399999990","-52.789499999990","14.057"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","7.798"
"Candiota","4304358","-31.551500000000","-53.677300000000","321"
"Canela","4304408","-29.356000000000","-50.811900000000","471"
"Canguçu","4304507","-31.396000000000","-52.678199999990","7.279"
"Canoas","4304606","-29.912800000000","-51.185699999990","194"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","73"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","8.155"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","733"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","1.663"
"Caraá","4304713","-29.786899999990","-50.431600000000","1.168"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","12.429"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","584"
"Casca","4304903","-28.560500000000","-51.981499999990","5.873"
"Caseiros","4304952","-28.258199999990","-51.686100000000","718"
"Catuípe","4305009","-28.255400000000","-54.013199999990","6.167"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","21.773"
"Centenário","4305116","-27.761600000000","-51.998399999990","917"
"Cerrito","4305124","-31.841899999990","-52.800400000000","1.212"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","26"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","39"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","1.144"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","12.974"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","260"
"Charrua","4305371","-27.949300000000","-52.015000000000","20"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","952"
"Chuí","4305439","-33.686599999990","-53.459400000000","661"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","876"
"Cidreira","4305454","-30.160399999990","-50.233800000000","728"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","3.807"
"Colinas","4305587","-29.381499999990","-51.852600000000","1.242"
"Constantina","4305801","-27.731999999990","-52.993800000000","3.409"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","1.605"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","1.283"
"Coxilha","4305975","-28.128000000000","-52.302300000000","1.230"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","4.849"
"Cristal","4306056","-31.004600000000","-52.043599999990","2.177"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","10.902"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","4.060"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","396"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","1.467"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","1.281"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","1.067"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","990"
"Dois Irmãos das Missões","4306429","-27.662099999990","-53.530400000000","18.689"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","1.231"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","1.510"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","6.295"
"Dom Pedro de Alcântara","4306551","-29.363900000000","-49.853000000000","478"
"Doutor Maurício Cardoso","4306734","-27.510300000000","-54.357799999990","1.916"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","856"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","5.046"
"Encantado","4306809","-29.235099999990","-51.870300000000","2.616"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","2.696"
