ç
"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Rural 1996 (MWh)"
"Água Santa","4300059","-28.167200000000","-52.030999999990","105"
"Agudo","4300109","-29.644700000000","-53.251500000000","10.021"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","20"
"Alecrim","4300307","-27.657900000000","-54.764899999990","349"
"Alegrete","4300406","-29.790199999990","-55.794899999990","33.989"
"Alegria","4300455","-27.834499999990","-54.055700000000","600"
"Alpestre","4300505","-27.250200000000","-53.034100000000","2.916"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","883"
"Alvorada","4300604","-29.991399999990","-51.080900000000","120"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","315"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","6.416"
"André da Rocha","4300661","-28.628299999990","-51.579700000000","1.060"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","3.233"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","2.265"
"Arambaré","4300851","-30.909300000000","-51.504600000000","2.779"
"Aratiba","4300901","-27.397800000000","-52.297499999990","2.959"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","3.287"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","133"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","6.227"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","556"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","16.207"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","2.829"
"Áurea","4301552","-27.693600000000","-52.050500000000","1.089"
"Bagé","4301602","-31.329699999990","-54.099899999990","5.932"
"Barão","4301651","-29.372500000000","-51.494900000000","604"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","1.831"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","492"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","423"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","3.069"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","951"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","722"
"Barracão","4301800","-27.673900000000","-51.458599999990","752"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","2.081"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","6.573"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","35"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","3.652"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","852"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","1.976"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","641"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","2.025"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","366"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","89"
"Braga","4302600","-27.617300000000","-53.740499999990","738"
"Brochier","4302659","-29.550100000000","-51.594499999990","1.176"
"Butiá","4302709","-30.117899999990","-51.960099999990","430"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","2.381"
"Cacequi","4302907","-29.888300000000","-54.822000000000","3.609"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","18.431"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","124"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","1.240"
"Caiçara","4303400","-27.279100000000","-53.425699999990","1.250"
"Camaquã","4303509","-30.848900000000","-51.804299999990","11.147"
"Camargo","4303558","-28.588000000000","-52.200299999990","44"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","357"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","521"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","75"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","3.510"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","223"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","1.161"
"Candelária","4304200","-29.668399999990","-52.789499999990","12.519"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","7.077"
"Candiota","4304358","-31.551500000000","-53.677300000000","289"
"Canela","4304408","-29.356000000000","-50.811900000000","436"
"Canguçu","4304507","-31.396000000000","-52.678199999990","6.440"
"Canoas","4304606","-29.912800000000","-51.185699999990","215"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","80"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","7.410"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","822"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","11.317"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","537"
"Casca","4304903","-28.560500000000","-51.981499999990","5.608"
"Caseiros","4304952","-28.258199999990","-51.686100000000","948"
"Catuípe","4305009","-28.255400000000","-54.013199999990","5.795"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","21.823"
"Centenário","4305116","-27.761600000000","-51.998399999990","827"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","25"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","39"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","900"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","11.472"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","187"
"Charrua","4305371","-27.949300000000","-52.015000000000","12"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","931"
"Cidreira","4305454","-30.160399999990","-50.233800000000","858"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","3.445"
"Colinas","4305587","-29.381499999990","-51.852600000000","1.115"
"Constantina","4305801","-27.731999999990","-52.993800000000","3.289"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","1.571"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","1.228"
"Coxilha","4305975","-28.128000000000","-52.302300000000","1.284"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","4.932"
"Cristal","4306056","-31.004600000000","-52.043599999990","1.823"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","9.699"
