ç
"Município","ibge","latitude","longitude","/Energia Elétr...umo/Residencial 1992 (MWh)"
"Água Santa","4300059","-28.167200000000","-52.030999999990","290"
"Agudo","4300109","-29.644700000000","-53.251500000000","2.403"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","1.329"
"Alecrim","4300307","-27.657900000000","-54.764899999990","729"
"Alegrete","4300406","-29.790199999990","-55.794899999990","30.032"
"Alegria","4300455","-27.834499999990","-54.055700000000","464"
"Alpestre","4300505","-27.250200000000","-53.034100000000","661"
"Alvorada","4300604","-29.991399999990","-51.080900000000","54.048"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","232"
"André da Rocha","4300661","-28.628299999990","-51.579700000000","87"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","664"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","3.139"
"Aratiba","4300901","-27.397800000000","-52.297499999990","1.050"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","4.562"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","3.581"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","1.243"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","3.970"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","5.230"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","1.543"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","1.256"
"Áurea","4301552","-27.693600000000","-52.050500000000","455"
"Bagé","4301602","-31.329699999990","-54.099899999990","42.552"
"Barão","4301651","-29.372500000000","-51.494900000000","31"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","884"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","3.615"
"Barracão","4301800","-27.673900000000","-51.458599999990","768"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","769"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","34.206"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","1.565"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","2.992"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","1.744"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","3.190"
"Braga","4302600","-27.617300000000","-53.740499999990","562"
"Brochier","4302659","-29.550100000000","-51.594499999990","625"
"Butiá","4302709","-30.117899999990","-51.960099999990","8.529"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","8.381"
"Cacequi","4302907","-29.888300000000","-54.822000000000","4.523"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","30.740"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","40.686"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","438"
"Caiçara","4303400","-27.279100000000","-53.425699999990","591"
"Camaquã","4303509","-30.848900000000","-51.804299999990","17.982"
"Camargo","4303558","-28.588000000000","-52.200299999990","212"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","1.912"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","923"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","1.387"
