ç
"Município","ibge","latitude","longitude","/Energia Elétr...umo/Residencial 2009 (MWh)"
"Água Santa","4300059","-28.167200000000","-52.030999999990","712"
"Agudo","4300109","-29.644700000000","-53.251500000000","5.165"
"Ajuricaba","4300208","-28.234200000000","-53.775700000000","2.366"
"Alecrim","4300307","-27.657900000000","-54.764899999990","1.325"
"Alegrete","4300406","-29.790199999990","-55.794899999990","44.044"
"Alegria","4300455","-27.834499999990","-54.055700000000","861"
"Alpestre","4300505","-27.250200000000","-53.034100000000","1.347"
"Alto Feliz","4300570","-29.391900000000","-51.312300000000","699"
"Alvorada","4300604","-29.991399999990","-51.080900000000","83.673"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","956"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","67"
"André da Rocha","4300661","-28.628299999990","-51.579700000000","389"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","1.665"
"Antônio Prado","4300802","-28.856500000000","-51.288300000000","6.154"
"Arambaré","4300851","-30.909300000000","-51.504600000000","3.227"
"Araricá","4300877","-29.616800000000","-50.929099999990","3.416"
"Aratiba","4300901","-27.397800000000","-52.297499999990","1.914"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","11.079"
"Arroio do Padre","4301073","-31.431600000000","-52.417099999990","208"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","11.933"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","3.311"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","6.987"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","8.864"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","3.586"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","2.227"
"Áurea","4301552","-27.693600000000","-52.050500000000","897"
"Bagé","4301602","-31.329699999990","-54.099899999990","65.525"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","12.999"
"Barão","4301651","-29.372500000000","-51.494900000000","62"
"Barão de Cotegipe","4301701","-27.620799999990","-52.379800000000","2.153"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","244"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","870"
"Barra do Quaraí","4301875","-30.202900000000","-57.549700000000","1.436"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","5.784"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","277"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","918"
"Barracão","4301800","-27.673900000000","-51.458599999990","1.700"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","1.732"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","299"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","74.992"
"Boa Vista das Missões","4302154","-27.667100000000","-53.310200000000","5"
"Boa Vista do Buricá","4302204","-27.669300000000","-54.108199999990","2.852"
"Boa Vista do Cadeado","4302220","-28.571600000000","-53.813800000000","175"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","287"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","4.154"
"Bom Princípio","4302352","-29.485600000000","-51.354799999990","6.766"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","640"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","6.152"
"Boqueirão do Leão","4302451","-29.304600000000","-52.428400000000","109"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","33"
"Braga","4302600","-27.617300000000","-53.740499999990","985"
"Brochier","4302659","-29.550100000000","-51.594499999990","1.468"
"Butiá","4302709","-30.117899999990","-51.960099999990","10.882"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","15.503"
"Cacequi","4302907","-29.888300000000","-54.822000000000","6.498"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","47.352"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","79.379"
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","977"
"Caiçara","4303400","-27.279100000000","-53.425699999990","1.103"
"Camaquã","4303509","-30.848900000000","-51.804299999990","30.282"
"Camargo","4303558","-28.588000000000","-52.200299999990","630"
"Cambará do Sul","4303608","-29.047400000000","-50.146500000000","3.207"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","848"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","1.516"
"Campinas do Sul","4303806","-27.717400000000","-52.624800000000","2.484"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","46.044"
"Campo Novo","4304002","-27.679200000000","-53.805199999990","1.997"
"Candelária","4304200","-29.668399999990","-52.789499999990","10.069"
"Cândido Godói","4304309","-27.951499999990","-54.751700000000","1.309"
"Candiota","4304358","-31.551500000000","-53.677300000000","4.176"
"Canela","4304408","-29.356000000000","-50.811900000000","26.082"
"Canguçu","4304507","-31.396000000000","-52.678199999990","10.895"
"Canoas","4304606","-29.912800000000","-51.185699999990","246.218"
"Capão Bonito do Sul","4304622","-29.764199999990","-50.028199999990","304"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","52.942"
"Capão do Cipó","4304655","-28.904000000000","-54.700000000000","382"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","9.859"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","5.542"
"Capitão","4304697","-29.267399999990","-51.985300000000","6"
