ç
"Município","ibge","latitude","longitude","/Energia Elétr...umo/Residencial 1995 (MWh)"
"Dois Irmãos das Missões","4306429","-27.662099999990","-53.530400000000","254"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","476"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","900"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","15.813"
"Doutor Maurício Cardoso","4306734","-27.510300000000","-54.357799999990","1.510"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","9.898"
"Encantado","4306809","-29.235099999990","-51.870300000000","8.611"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","4.742"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","120"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","614"
"Entre-ijuís","4306932","-28.368600000000","-54.268599999990","1.737"
"Erebango","4306973","-27.854399999990","-52.300500000000","788"
"Erechim","4307005","-27.636399999990","-52.269700000000","36.424"
"Ernestina","4307054","-28.497699999990","-52.583599999990","453"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","582"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","1.260"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","750"
"Espumoso","4307500","-28.728600000000","-52.846100000000","4.164"
"Estação","4307559","-27.913499999990","-52.263500000000","2.108"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","16.540"
"Esteio","4307708","-29.852000000000","-51.184100000000","42.917"
"Estrela","4307807","-29.501600000000","-51.960500000000","12.252"
"Eugênio de Castro","4307831","-28.531500000000","-54.150599999990","517"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","396"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","21.869"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","386"
"Feliz","4308102","-29.452700000000","-51.303199999990","4.187"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","7.223"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","1.250"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","731"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","9.500"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","10.743"
"Garruchos","4308656","-28.194400000000","-55.638300000000","261"
"Gaurama","4308706","-27.585599999990","-52.091500000000","1.343"
