0,Município,ibge,latitude,longitude,MWh,ano
77,Centenário,4305116,-27.761600000000,-51.998399999990,1.147,1995
78,Cerro Branco,4305132,-29.657000000000,-52.940600000000,12,1995
79,Cerro Grande,4305157,-27.610600000000,-53.167200000000,38,1995
80,Cerro Grande do Sul,4305173,-30.590499999990,-51.741799999990,2.383,1995
81,Cerro Largo,4305207,-28.146200000000,-54.742800000000,20.603,1995
82,Charqueadas,4305355,-29.962500000000,-51.628900000000,209.344,1995
83,Charrua,4305371,-27.949300000000,-52.015000000000,875,1995
84,Chiapetta,4305405,-27.922999999990,-53.941899999990,3.460,1995
85,Cidreira,4305454,-30.160399999990,-50.233800000000,27.965,1995
86,Ciríaco,4305504,-28.341899999990,-51.874099999990,4.892,1995
87,Colinas,4305587,-29.381499999990,-51.852600000000,2.525,1995
88,Constantina,4305801,-27.731999999990,-52.993800000000,8.564,1995
89,Coronel Bicaco,4305900,-27.719700000000,-53.702199999990,5.491,1995
90,Cotiporã,4305959,-28.989100000000,-51.697099999990,3.332,1995
91,Coxilha,4305975,-28.128000000000,-52.302300000000,2.370,1995
92,Crissiumal,4306007,-27.499900000000,-54.099400000000,13.516,1995
93,Cristal,4306056,-31.004600000000,-52.043599999990,5.793,1995
94,Cruz Alta,4306106,-28.645000000000,-53.604799999990,78.050,1995
95,Cruzeiro do Sul,4306205,-29.514800000000,-51.992800000000,11.246,1995
96,David Canabarro,4306304,-28.384899999990,-51.848199999990,1.455,1995
97,Derrubadas,4306320,-27.264199999990,-53.864500000000,1.870,1995
98,Dezesseis de Novembro,4306353,-28.219000000000,-55.061700000000,1.583,1995
99,Dois Irmãos,4306403,-29.583600000000,-51.089799999990,27.781,1995
100,Dois Irmãos das Missões,4306429,-27.662099999990,-53.530400000000,15.009,1995
101,Dois Lajeados,4306452,-28.983000000000,-51.839599999990,2.106,1995
102,Dom Feliciano,4306502,-30.700399999990,-52.102600000000,3.032,1995
103,Dom Pedrito,4306601,-30.975600000000,-54.669400000000,41.912,1995
104,Doutor Maurício Cardoso,4306734,-27.510300000000,-54.357799999990,5.005,1995
105,Eldorado do Sul,4306767,-30.084700000000,-51.618699999990,74.843,1995
106,Encantado,4306809,-29.235099999990,-51.870300000000,40.192,1995
107,Encruzilhada do Sul,4306908,-30.542999999990,-52.520400000000,11.842,1995
108,Engenho Velho,4306924,-27.706000000000,-52.914499999990,1.008,1995
109,Entre Rios do Sul,4306957,-27.529800000000,-52.734699999990,1.947,1995
110,Entre-ijuís,4306932,-28.368600000000,-54.268599999990,14.149,1995
111,Erebango,4306973,-27.854399999990,-52.300500000000,2.420,1995
112,Erechim,4307005,-27.636399999990,-52.269700000000,119.366,1995
113,Ernestina,4307054,-28.497699999990,-52.583599999990,4.611,1995
114,Erval Grande,4307203,-27.392600000000,-52.573999999990,2.542,1995
115,Erval Seco,4307302,-27.544300000000,-53.500500000000,4.086,1995
116,Esmeralda,4307401,-28.051800000000,-51.193300000000,2.000,1995
117,Espumoso,4307500,-28.728600000000,-52.846100000000,21.145,1995
118,Estação,4307559,-27.913499999990,-52.263500000000,13.141,1995
119,Estância Velha,4307609,-29.653500000000,-51.184300000000,86.313,1995
120,Esteio,4307708,-29.852000000000,-51.184100000000,236.993,1995
121,Estrela,4307807,-29.501600000000,-51.960500000000,48.221,1995
122,Eugênio de Castro,4307831,-28.531500000000,-54.150599999990,2.234,1995
123,Fagundes Varela,4307864,-28.879400000000,-51.701400000000,2.244,1995
124,Farroupilha,4307906,-29.222700000000,-51.341900000000,126.745,1995
125,Faxinal do Soturno,4308003,-29.578800000000,-53.448399999990,19.029,1995
126,Faxinalzinho,4308052,-27.423800000000,-52.678899999990,1.739,1995
127,Feliz,4308102,-29.452700000000,-51.303199999990,21.069,1995
128,Flores da Cunha,4308201,-29.026199999990,-51.187500000000,36.851,1995
129,Formigueiro,4308409,-30.003499999990,-53.495899999990,5.363,1995
130,Fortaleza dos Valos,4308458,-28.798600000000,-53.224899999990,2.021,1995
131,Frederico Westphalen,4308508,-27.358599999990,-53.395800000000,32.550,1995
132,Garibaldi,4308607,-29.259000000000,-51.535200000000,60.236,1995
133,Garruchos,4308656,-28.194400000000,-55.638300000000,1.000,1995
134,Gaurama,4308706,-27.585599999990,-52.091500000000,6.086,1995
135,General Câmara,4308805,-29.903199999990,-51.761200000000,5.456,1995
136,Gentil,4308854,-28.431600000000,-52.033700000000,329,1995
137,Getúlio Vargas,4308904,-27.891100000000,-52.229399999990,20.432,1995
138,Giruá,4309001,-28.029699999990,-54.351700000000,23.884,1995
139,Glorinha,4309050,-29.879799999990,-50.773400000000,4.579,1995
140,Gramado,4309100,-29.373300000000,-50.876199999990,40.752,1995
141,Gramado dos Loureiros,4309126,-27.442900000000,-52.914900000000,318,1995
142,Gramado Xavier,4309159,-29.270600000000,-52.579500000000,337,1995
143,Gravataí,4309209,-29.941299999990,-50.986899999990,400.517,1995
144,Guabiju,4309258,-28.542100000000,-51.694800000000,1.258,1995
145,Guaíba,4309308,-30.108599999990,-51.323300000000,129.716,1995
146,Guaporé,4309407,-28.839900000000,-51.889499999990,26.152,1995
147,Guarani das Missões,4309506,-28.149100000000,-54.562899999990,9.090,1995
148,Harmonia,4309555,-29.545600000000,-51.418500000000,4.113,1995
149,Herval,4307104,-32.024000000000,-53.394399999990,4.697,1995
150,Horizontina,4309605,-27.628200000000,-54.305300000000,28.147,1995
151,Humaitá,4309704,-27.569099999990,-53.969499999990,5.139,1995
152,Ibarama,4309753,-29.420300000000,-53.129500000000,1.742,1995
153,Ibiraiaras,4309902,-28.374099999990,-51.637700000000,5.437,1995
154,Ibirapuitã,4309951,-28.624700000000,-52.515799999990,3.604,1995
155,Ibirubá,4310009,-28.630199999990,-53.096100000000,28.424,1995
156,Igrejinha,4310108,-29.569299999990,-50.791899999990,31.957,1995
157,Ijuí,4310207,-28.388100000000,-53.920000000000,94.583,1995
158,Ilópolis,4310306,-28.928200000000,-52.125799999990,2.715,1995
159,Imbé,4310330,-29.975300000000,-50.128100000000,24.608,1995
160,Imigrante,4310363,-29.350800000000,-51.774700000000,4.450,1995
161,Independência,4310405,-27.835400000000,-54.188600000000,7.936,1995
162,Inhacorá,4310413,-27.875200000000,-54.015000000000,1.438,1995
163,Ipê,4310439,-28.817100000000,-51.285899999990,3.559,1995
164,Ipiranga do Sul,4310462,-27.940400000000,-52.427100000000,1.410,1995
165,Iraí,4310504,-27.195100000000,-53.254300000000,5.897,1995
166,Itacurubi,4310553,-28.791300000000,-55.244700000000,3.817,1995
167,Itapuca,4310579,-28.776800000000,-52.169300000000,34,1995
168,Itaqui,4310603,-29.131000000000,-56.551499999990,139.829,1995
169,Itatiba do Sul,4310702,-27.384599999990,-52.453800000000,2.508,1995
170,Ivorá,4310751,-29.523199999990,-53.584200000000,84,1995
171,Ivoti,4310801,-29.599499999990,-51.153300000000,26.936,1995
172,Jacutinga,4310900,-27.729099999990,-52.537199999990,3.158,1995
173,Jaguarão,4311007,-32.560400000000,-53.377000000000,37.619,1995
174,Jaguari,4311106,-29.493600000000,-54.703000000000,9.606,1995
175,Jaquirana,4311122,-28.881100000000,-50.363700000000,2.760,1995
