"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Total 2007 (MWh)"
"Caraá","4304713","-29.786899999990","-50.431600000000","6.938"
"Carazinho","4304705","-28.295800000000","-52.793300000000","146.512"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","138.565"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","1.283"
"Casca","4304903","-28.560500000000","-51.981499999990","23.054"
"Caseiros","4304952","-28.258199999990","-51.686100000000","2.720"
"Catuípe","4305009","-28.255400000000","-54.013199999990","6.671"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","1.358.043"
"Centenário","4305116","-27.761600000000","-51.998399999990","2.320"
"Cerrito","4305124","-31.841899999990","-52.800400000000","5.537"
"Cerro Branco","4305132","-29.657000000000","-52.940600000000","100"
"Cerro Grande","4305157","-27.610600000000","-53.167200000000","72"
"Cerro Grande do Sul","4305173","-30.590499999990","-51.741799999990","6.609"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","30.830"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","403.437"
"Charrua","4305371","-27.949300000000","-52.015000000000","954"
"Chiapetta","4305405","-27.922999999990","-53.941899999990","2.712"
"Chuí","4305439","-33.686599999990","-53.459400000000","8.190"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","3.631"
"Cidreira","4305454","-30.160399999990","-50.233800000000","25.309"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","9.760"
"Colinas","4305587","-29.381499999990","-51.852600000000","4.226"
"Constantina","4305801","-27.731999999990","-52.993800000000","10.899"
"Coqueiro Baixo","4305835","-29.172200000000","-52.098900000000","1.036"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","6.992"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","1.307"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","13.338"
"Coxilha","4305975","-28.128000000000","-52.302300000000","3.223"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","17.920"
"Cristal","4306056","-31.004600000000","-52.043599999990","8.943"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","263"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","102.650"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","3.276"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","26.568"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","2.720"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","2.883"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","2.623"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","3.842"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","59.806"
"Dois Irmãos das Missões","4306429","-27.662099999990","-53.530400000000","16.237"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","20.224"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","8.615"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","58.869"
"Dom Pedro de Alcântara","4306551","-29.363900000000","-49.853000000000","3.605"
"Doutor Maurício Cardoso","4306734","-27.510300000000","-54.357799999990","5.687"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","3.548"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","70.396"
"Encantado","4306809","-29.235099999990","-51.870300000000","62.747"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","21.038"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","1.541"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","3.163"
"Entre-ijuís","4306932","-28.368600000000","-54.268599999990","9.656"
"Erebango","4306973","-27.854399999990","-52.300500000000","3.792"
"Erechim","4307005","-27.636399999990","-52.269700000000","204.882"
"Ernestina","4307054","-28.497699999990","-52.583599999990","3.491"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","5.584"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","6.094"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","3.350"
"Esperança do Sul","4307450","-27.360299999990","-53.989100000000","2.923"
"Espumoso","4307500","-28.728600000000","-52.846100000000","15.289"
"Estação","4307559","-27.913499999990","-52.263500000000","20.232"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","117.333"
"Esteio","4307708","-29.852000000000","-51.184100000000","230.459"
"Estrela","4307807","-29.501600000000","-51.960500000000","70.761"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","42"
"Eugênio de Castro","4307831","-28.531500000000","-54.150599999990","3.389"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","5.412"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","175.920"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","35.902"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","2.093"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","12.712"
"Feliz","4308102","-29.452700000000","-51.303199999990","27.810"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","73.864"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","8.158"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","3.007"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","52.611"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","117.291"
"Garruchos","4308656","-28.194400000000","-55.638300000000","2.999"
"Gaurama","4308706","-27.585599999990","-52.091500000000","11.748"
"General Câmara","4308805","-29.903199999990","-51.761200000000","6.875"
"Gentil","4308854","-28.431600000000","-52.033700000000","1.017"
